bat;experiment;order;treatment;bat_type;period;response
25;CP;NP-P;non-predator;control;before;2
25;CP;NP-P;non-predator;control;during;0
25;CP;NP-P;non-predator;control;after;6
26;CP;NP-P;non-predator;control;before;0
26;CP;NP-P;non-predator;control;during;1
26;CP;NP-P;non-predator;control;after;1
27;CP;NP-P;non-predator;control;before;0
27;CP;NP-P;non-predator;control;during;10
27;CP;NP-P;non-predator;control;after;35
28;CP;NP-P;non-predator;control;before;1
28;CP;NP-P;non-predator;control;during;3
28;CP;NP-P;non-predator;control;after;6
29;CP;NP-P;non-predator;control;before;108
29;CP;NP-P;non-predator;control;during;111
29;CP;NP-P;non-predator;control;after;115
30;CP;NP-P;non-predator;control;before;4
30;CP;NP-P;non-predator;control;during;10
30;CP;NP-P;non-predator;control;after;3
31;CP;NP-P;non-predator;control;before;4
31;CP;NP-P;non-predator;control;during;3
31;CP;NP-P;non-predator;control;after;3
32;CP;NP-P;non-predator;control;before;7
32;CP;NP-P;non-predator;control;during;9
32;CP;NP-P;non-predator;control;after;64
33;PC;P-NP;non-predator;control;before;82
33;PC;P-NP;non-predator;control;during;11
33;PC;P-NP;non-predator;control;after;0
34;PC;P-NP;non-predator;control;before;10
34;PC;P-NP;non-predator;control;during;25
34;PC;P-NP;non-predator;control;after;16
35;PC;P-NP;non-predator;control;before;33
35;PC;P-NP;non-predator;control;during;45
35;PC;P-NP;non-predator;control;after;35
36;PC;P-NP;non-predator;control;before;61
36;PC;P-NP;non-predator;control;during;36
36;PC;P-NP;non-predator;control;after;20
37;PC;P-NP;non-predator;control;before;17
37;PC;P-NP;non-predator;control;during;82
37;PC;P-NP;non-predator;control;after;46
38;PC;P-NP;non-predator;control;before;48
38;PC;P-NP;non-predator;control;during;56
38;PC;P-NP;non-predator;control;after;43
1;FP;NP-P;non-predator;frugivorous;before;10
1;FP;NP-P;non-predator;frugivorous;during;0
1;FP;NP-P;non-predator;frugivorous;after;2
2;FP;NP-P;non-predator;frugivorous;before;18
2;FP;NP-P;non-predator;frugivorous;during;1
2;FP;NP-P;non-predator;frugivorous;after;38
3;FP;NP-P;non-predator;frugivorous;before;11
3;FP;NP-P;non-predator;frugivorous;during;0
3;FP;NP-P;non-predator;frugivorous;after;0
4;FP;NP-P;non-predator;frugivorous;before;0
4;FP;NP-P;non-predator;frugivorous;during;0
4;FP;NP-P;non-predator;frugivorous;after;11
5;FP;NP-P;non-predator;frugivorous;before;33
5;FP;NP-P;non-predator;frugivorous;during;6
5;FP;NP-P;non-predator;frugivorous;after;48
6;FP;NP-P;non-predator;frugivorous;before;3
6;FP;NP-P;non-predator;frugivorous;during;0
6;FP;NP-P;non-predator;frugivorous;after;0
7;FP;NP-P;non-predator;frugivorous;before;14
7;FP;NP-P;non-predator;frugivorous;during;9
7;FP;NP-P;non-predator;frugivorous;after;44
8;PF;P-NP;non-predator;frugivorous;before;71
8;PF;P-NP;non-predator;frugivorous;during;19
8;PF;P-NP;non-predator;frugivorous;after;46
9;PF;P-NP;non-predator;frugivorous;before;2
9;PF;P-NP;non-predator;frugivorous;during;1
9;PF;P-NP;non-predator;frugivorous;after;8
10;PF;P-NP;non-predator;frugivorous;before;100
10;PF;P-NP;non-predator;frugivorous;during;81
10;PF;P-NP;non-predator;frugivorous;after;104
11;PF;P-NP;non-predator;frugivorous;before;35
11;PF;P-NP;non-predator;frugivorous;during;6
11;PF;P-NP;non-predator;frugivorous;after;17
12;PF;P-NP;non-predator;frugivorous;before;95
12;PF;P-NP;non-predator;frugivorous;during;8
12;PF;P-NP;non-predator;frugivorous;after;69
13;IP;NP-P;non-predator;insectivorous;before;0
13;IP;NP-P;non-predator;insectivorous;during;0
13;IP;NP-P;non-predator;insectivorous;after;7
14;IP;NP-P;non-predator;insectivorous;before;0
14;IP;NP-P;non-predator;insectivorous;during;7
14;IP;NP-P;non-predator;insectivorous;after;7
15;IP;NP-P;non-predator;insectivorous;before;106
15;IP;NP-P;non-predator;insectivorous;during;46
15;IP;NP-P;non-predator;insectivorous;after;112
16;IP;NP-P;non-predator;insectivorous;before;2
16;IP;NP-P;non-predator;insectivorous;during;3
16;IP;NP-P;non-predator;insectivorous;after;11
17;IP;NP-P;non-predator;insectivorous;before;0
17;IP;NP-P;non-predator;insectivorous;during;0
17;IP;NP-P;non-predator;insectivorous;after;0
18;IP;NP-P;non-predator;insectivorous;before;0
18;IP;NP-P;non-predator;insectivorous;during;0
18;IP;NP-P;non-predator;insectivorous;after;0
19;IP;NP-P;non-predator;insectivorous;before;15
19;IP;NP-P;non-predator;insectivorous;during;6
19;IP;NP-P;non-predator;insectivorous;after;2
20;PI;P-NP;non-predator;insectivorous;before;4
20;PI;P-NP;non-predator;insectivorous;during;18
20;PI;P-NP;non-predator;insectivorous;after;12
21;PI;P-NP;non-predator;insectivorous;before;68
21;PI;P-NP;non-predator;insectivorous;during;23
21;PI;P-NP;non-predator;insectivorous;after;33
22;PI;P-NP;non-predator;insectivorous;before;29
22;PI;P-NP;non-predator;insectivorous;during;7
22;PI;P-NP;non-predator;insectivorous;after;17
23;PI;P-NP;non-predator;insectivorous;before;76
23;PI;P-NP;non-predator;insectivorous;during;12
23;PI;P-NP;non-predator;insectivorous;after;54
24;PI;P-NP;non-predator;insectivorous;before;22
24;PI;P-NP;non-predator;insectivorous;during;25
24;PI;P-NP;non-predator;insectivorous;after;34
1;FP;NP-P;predator;carnivorous;before;12
1;FP;NP-P;predator;carnivorous;during;0
1;FP;NP-P;predator;carnivorous;after;13
2;FP;NP-P;predator;carnivorous;before;52
2;FP;NP-P;predator;carnivorous;during;1
2;FP;NP-P;predator;carnivorous;after;3
3;FP;NP-P;predator;carnivorous;before;1
3;FP;NP-P;predator;carnivorous;during;0
3;FP;NP-P;predator;carnivorous;after;0
4;FP;NP-P;predator;carnivorous;before;1
4;FP;NP-P;predator;carnivorous;during;0
4;FP;NP-P;predator;carnivorous;after;0
5;FP;NP-P;predator;carnivorous;before;35
5;FP;NP-P;predator;carnivorous;during;0
5;FP;NP-P;predator;carnivorous;after;10
6;FP;NP-P;predator;carnivorous;before;6
6;FP;NP-P;predator;carnivorous;during;0
6;FP;NP-P;predator;carnivorous;after;3
7;FP;NP-P;predator;carnivorous;before;12
7;FP;NP-P;predator;carnivorous;during;0
7;FP;NP-P;predator;carnivorous;after;1
8;PF;P-NP;predator;carnivorous;before;43
8;PF;P-NP;predator;carnivorous;during;0
8;PF;P-NP;predator;carnivorous;after;72
9;PF;P-NP;predator;carnivorous;before;7
9;PF;P-NP;predator;carnivorous;during;0
9;PF;P-NP;predator;carnivorous;after;0
10;PF;P-NP;predator;carnivorous;before;14
10;PF;P-NP;predator;carnivorous;during;0
10;PF;P-NP;predator;carnivorous;after;20
11;PF;P-NP;predator;carnivorous;before;41
11;PF;P-NP;predator;carnivorous;during;4
11;PF;P-NP;predator;carnivorous;after;11
12;PF;P-NP;predator;carnivorous;before;23
12;PF;P-NP;predator;carnivorous;during;0
12;PF;P-NP;predator;carnivorous;after;78
13;IP;NP-P;predator;carnivorous;before;8
13;IP;NP-P;predator;carnivorous;during;0
13;IP;NP-P;predator;carnivorous;after;0
14;IP;NP-P;predator;carnivorous;before;32
14;IP;NP-P;predator;carnivorous;during;1
14;IP;NP-P;predator;carnivorous;after;8
15;IP;NP-P;predator;carnivorous;before;95
15;IP;NP-P;predator;carnivorous;during;4
15;IP;NP-P;predator;carnivorous;after;67
16;IP;NP-P;predator;carnivorous;before;21
16;IP;NP-P;predator;carnivorous;during;0
16;IP;NP-P;predator;carnivorous;after;1
17;IP;NP-P;predator;carnivorous;before;22
17;IP;NP-P;predator;carnivorous;during;5
17;IP;NP-P;predator;carnivorous;after;64
18;IP;NP-P;predator;carnivorous;before;34
18;IP;NP-P;predator;carnivorous;during;0
18;IP;NP-P;predator;carnivorous;after;8
19;IP;NP-P;predator;carnivorous;before;0
19;IP;NP-P;predator;carnivorous;during;0
19;IP;NP-P;predator;carnivorous;after;0
20;PI;P-NP;predator;carnivorous;before;18
20;PI;P-NP;predator;carnivorous;during;0
20;PI;P-NP;predator;carnivorous;after;0
21;PI;P-NP;predator;carnivorous;before;30
21;PI;P-NP;predator;carnivorous;during;7
21;PI;P-NP;predator;carnivorous;after;30
22;PI;P-NP;predator;carnivorous;before;0
22;PI;P-NP;predator;carnivorous;during;0
22;PI;P-NP;predator;carnivorous;after;0
23;PI;P-NP;predator;carnivorous;before;38
23;PI;P-NP;predator;carnivorous;during;3
23;PI;P-NP;predator;carnivorous;after;53
24;PI;P-NP;predator;carnivorous;before;10
24;PI;P-NP;predator;carnivorous;during;0
24;PI;P-NP;predator;carnivorous;after;5
25;CP;NP-P;predator;carnivorous;before;7
25;CP;NP-P;predator;carnivorous;during;0
25;CP;NP-P;predator;carnivorous;after;0
26;CP;NP-P;predator;carnivorous;before;1
26;CP;NP-P;predator;carnivorous;during;0
26;CP;NP-P;predator;carnivorous;after;0
27;CP;NP-P;predator;carnivorous;before;34
27;CP;NP-P;predator;carnivorous;during;0
27;CP;NP-P;predator;carnivorous;after;10
28;CP;NP-P;predator;carnivorous;before;17
28;CP;NP-P;predator;carnivorous;during;0
28;CP;NP-P;predator;carnivorous;after;32
29;CP;NP-P;predator;carnivorous;before;109
29;CP;NP-P;predator;carnivorous;during;0
29;CP;NP-P;predator;carnivorous;after;103
30;CP;NP-P;predator;carnivorous;before;31
30;CP;NP-P;predator;carnivorous;during;0
30;CP;NP-P;predator;carnivorous;after;2
31;CP;NP-P;predator;carnivorous;before;1
31;CP;NP-P;predator;carnivorous;during;0
31;CP;NP-P;predator;carnivorous;after;3
32;CP;NP-P;predator;carnivorous;before;40
32;CP;NP-P;predator;carnivorous;during;0
32;CP;NP-P;predator;carnivorous;after;53
33;PC;P-NP;predator;carnivorous;before;52
33;PC;P-NP;predator;carnivorous;during;0
33;PC;P-NP;predator;carnivorous;after;13
34;PC;P-NP;predator;carnivorous;before;4
34;PC;P-NP;predator;carnivorous;during;0
34;PC;P-NP;predator;carnivorous;after;0
35;PC;P-NP;predator;carnivorous;before;71
35;PC;P-NP;predator;carnivorous;during;0
35;PC;P-NP;predator;carnivorous;after;44
36;PC;P-NP;predator;carnivorous;before;76
36;PC;P-NP;predator;carnivorous;during;0
36;PC;P-NP;predator;carnivorous;after;56
37;PC;P-NP;predator;carnivorous;before;86
37;PC;P-NP;predator;carnivorous;during;2
37;PC;P-NP;predator;carnivorous;after;78
38;PC;P-NP;predator;carnivorous;before;80
38;PC;P-NP;predator;carnivorous;during;2
38;PC;P-NP;predator;carnivorous;after;55
